Best performing model = KNeighborsClassifier(metric='euclidean', n_neighbors=19) 

Accuracy score on the test set = 0.65 

Model parameters = {'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'uniform'} 

    mean_fit_time  std_fit_time  mean_score_time  std_score_time param_metric  \
59       0.046872      0.001996         0.150996        0.010123    minkowski   
38       0.040690      0.004108         7.747879        0.115379    manhattan   
18       0.059242      0.007535         0.234373        0.022665    euclidean   
19       0.062833      0.015164         0.189095        0.007992    euclidean   
58       0.043482      0.002999         0.168951        0.006926    minkowski   
39       0.042085      0.009921         7.715166        0.118184    manhattan   
56       0.042286      0.002324         0.170744        0.004777    minkowski   
57       0.040690      0.003051         0.159574        0.013231    minkowski   
36       0.040093      0.005216         7.777400        0.084473    manhattan   
16       0.059640      0.006776         0.241354        0.031748    euclidean   
17       0.061834      0.009075         0.182113        0.009986    euclidean   
37       0.039493      0.003432         7.739103        0.068538    manhattan   
49       0.057644      0.012762         0.206447        0.018162    minkowski   
8        0.057046      0.004563         0.216820        0.016563    euclidean   
9        0.067221      0.016396         0.193879        0.011625    euclidean   
28       0.041088      0.003180         7.852799        0.184622    manhattan   
48       0.056849      0.005240         0.235170        0.019558    minkowski   
29       0.040092      0.005964         7.713970        0.129939    manhattan   
51       0.052660      0.004059         0.183708        0.022385    minkowski   
50       0.050265      0.014571         0.231182        0.019415    minkowski   
30       0.044879      0.015099         7.728730        0.104669    manhattan   
10       0.054254      0.006359         0.241556        0.025289    euclidean   
11       0.053456      0.011541         0.183509        0.014274    euclidean   
31       0.037499      0.001353         7.710779        0.060097    manhattan   
12       0.060239      0.006070         0.222008        0.011362    euclidean   
53       0.048272      0.006136         0.154186        0.012306    minkowski   
52       0.062631      0.010618         0.215625        0.029426    minkowski   
13       0.058843      0.006994         0.185304        0.012794    euclidean   
32       0.048669      0.015365         7.810711        0.117759    manhattan   
34       0.045078      0.014878         7.774608        0.079398    manhattan   
55       0.046473      0.005905         0.160574        0.012295    minkowski   
14       0.062035      0.005620         0.221806        0.005070    euclidean   
35       0.038695      0.003477         7.742494        0.085299    manhattan   
54       0.043683      0.004108         0.186501        0.013395    minkowski   
15       0.058443      0.008190         0.185904        0.004951    euclidean   
33       0.037698      0.000747         7.719754        0.123770    manhattan   
26       0.038895      0.005006         7.761642        0.082137    manhattan   
6        0.063029      0.009759         0.225797        0.014802    euclidean   
7        0.056447      0.008892         0.189094        0.012831    euclidean   
47       0.048470      0.008357         0.187699        0.018012    minkowski   
46       0.059838      0.008650         0.247140        0.024459    minkowski   
27       0.041289      0.006573         7.788769        0.301009    manhattan   
45       0.044081      0.007034         0.203855        0.029319    minkowski   
24       0.046676      0.010469         8.304390        0.235298    manhattan   
5        0.050065      0.014677         0.199071        0.018265    euclidean   
44       0.051862      0.011015         0.211833        0.019649    minkowski   
4        0.050066      0.004106         0.239758        0.016516    euclidean   
25       0.058045      0.018652         7.931787        0.153507    manhattan   
3        0.048270      0.008310         0.196079        0.010809    euclidean   
43       0.048470      0.010163         0.162568        0.013587    minkowski   
42       0.047273      0.012670         0.193483        0.013820    minkowski   
22       0.047472      0.007919         8.554323        0.566968    manhattan   
2        0.042286      0.002410         0.240557        0.008519    euclidean   
23       0.055650      0.019125         8.325535        0.448968    manhattan   
21       0.049667      0.008840         8.305588        0.647478    manhattan   
40       0.036700      0.000399         0.150996        0.009326    minkowski   
41       0.038496      0.001354         0.137233        0.006452    minkowski   
1        0.049865      0.011336         0.213034        0.016989    euclidean   
20       0.053857      0.005745         8.174139        0.133255    manhattan   
0        0.055251      0.018505         0.249932        0.010376    euclidean   

   param_n_neighbors param_weights  \
15  {'metric': 'euclidean', 'n_neighbors': 15, 'we...           0.651111   
33  {'metric': 'manhattan', 'n_neighbors': 13, 'we...           0.657778   
26  {'metric': 'manhattan', 'n_neighbors': 7, 'wei...           0.637778   
6   {'metric': 'euclidean', 'n_neighbors': 7, 'wei...           0.637778   
7   {'metric': 'euclidean', 'n_neighbors': 7, 'wei...           0.637778   
47  {'metric': 'minkowski', 'n_neighbors': 7, 'wei...           0.637778   
46  {'metric': 'minkowski', 'n_neighbors': 7, 'wei...           0.637778   
27  {'metric': 'manhattan', 'n_neighbors': 7, 'wei...           0.635556   
45  {'metric': 'minkowski', 'n_neighbors': 5, 'wei...           0.626667   
24  {'metric': 'manhattan', 'n_neighbors': 5, 'wei...           0.626667   
5   {'metric': 'euclidean', 'n_neighbors': 5, 'wei...           0.626667   
44  {'metric': 'minkowski', 'n_neighbors': 5, 'wei...           0.626667   
4   {'metric': 'euclidean', 'n_neighbors': 5, 'wei...           0.626667   
25  {'metric': 'manhattan', 'n_neighbors': 5, 'wei...           0.626667   
3   {'metric': 'euclidean', 'n_neighbors': 3, 'wei...           0.642222   
43  {'metric': 'minkowski', 'n_neighbors': 3, 'wei...           0.642222   
42  {'metric': 'minkowski', 'n_neighbors': 3, 'wei...           0.642222   
22  {'metric': 'manhattan', 'n_neighbors': 3, 'wei...           0.642222   
2   {'metric': 'euclidean', 'n_neighbors': 3, 'wei...           0.642222   
23  {'metric': 'manhattan', 'n_neighbors': 3, 'wei...           0.642222   
21  {'metric': 'manhattan', 'n_neighbors': 1, 'wei...           0.633333   
40  {'metric': 'minkowski', 'n_neighbors': 1, 'wei...           0.633333   
41  {'metric': 'minkowski', 'n_neighbors': 1, 'wei...           0.633333   
1   {'metric': 'euclidean', 'n_neighbors': 1, 'wei...           0.633333   
20  {'metric': 'manhattan', 'n_neighbors': 1, 'wei...           0.633333   
0   {'metric': 'euclidean', 'n_neighbors': 1, 'wei...           0.633333   

    split1_test_score  split2_test_score  split3_test_score  \
59           0.646667           0.666667           0.650334   
38           0.646667           0.666667           0.650334   
18           0.646667           0.666667           0.650334   
19           0.646667           0.666667           0.650334   
58           0.646667           0.666667           0.650334   
39           0.644444           0.668889           0.645880   
56           0.660000           0.657778           0.661470   
57           0.660000           0.657778           0.661470   
36           0.660000           0.657778           0.661470   
16           0.660000           0.657778           0.661470   
17           0.660000           0.657778           0.661470   
37           0.657778           0.657778           0.661470   
49           0.642222           0.635556           0.652561   
8            0.642222           0.635556           0.652561   
9            0.642222           0.635556           0.652561   
28           0.642222           0.635556           0.652561   
48           0.642222           0.635556           0.652561   
29           0.642222           0.635556           0.652561   
51           0.624444           0.642222           0.657016   
50           0.624444           0.642222           0.657016   
30           0.624444           0.642222           0.657016   
10           0.624444           0.642222           0.657016   
11           0.624444           0.642222           0.657016   
31           0.628889           0.640000           0.652561   
12           0.628889           0.637778           0.661470   
53           0.628889           0.637778           0.661470   
52           0.628889           0.637778           0.661470   
13           0.628889           0.637778           0.661470   
32           0.628889           0.637778           0.661470   
34           0.631111           0.648889           0.643653   
55           0.631111           0.648889           0.643653   
14           0.631111           0.648889           0.643653   
35           0.635556           0.648889           0.641425   
54           0.631111           0.648889           0.643653   
15           0.631111           0.648889           0.643653   
33           0.626667           0.640000           0.652561   
26           0.600000           0.626667           0.652561   
6            0.600000           0.626667           0.652561   
7            0.600000           0.626667           0.652561   
47           0.600000           0.626667           0.652561   
46           0.600000           0.626667           0.652561   
27           0.595556           0.626667           0.652561   
45           0.586667           0.642222           0.652561   
24           0.586667           0.642222           0.652561   
5            0.586667           0.642222           0.652561   
44           0.586667           0.642222           0.652561   
4            0.586667           0.642222           0.652561   
25           0.584444           0.642222           0.652561   
3            0.608889           0.611111           0.619154   
43           0.608889           0.611111           0.619154   
42           0.608889           0.611111           0.619154   
22           0.608889           0.611111           0.619154   
2            0.608889           0.611111           0.619154   
23           0.608889           0.611111           0.616927   
21           0.573333           0.617778           0.585746   
40           0.573333           0.617778           0.585746   
41           0.573333           0.617778           0.585746   
1            0.573333           0.617778           0.585746   
20           0.573333           0.617778           0.585746   
0            0.573333           0.617778           0.585746   

    split4_test_score  mean_test_score  std_test_score  rank_test_score  
59           0.648107         0.651688        0.007608                1  
38           0.648107         0.651688        0.007608                1  
18           0.648107         0.651688        0.007608                1  
19           0.648107         0.651688        0.007608                1  
58           0.648107         0.651688        0.007608                1  
39           0.650334         0.650798        0.009300                6  
56           0.608018         0.648120        0.020239                7  
57           0.608018         0.648120        0.020239                7  
36           0.608018         0.648120        0.020239                7  
16           0.608018         0.648120        0.020239                7  
17           0.608018         0.648120        0.020239                7  
37           0.608018         0.646786        0.019822               12  
49           0.630290         0.644126        0.010878               13  
8            0.630290         0.644126        0.010878               13  
9            0.630290         0.644126        0.010878               13  
28           0.630290         0.644126        0.010878               13  
48           0.630290         0.644126        0.010878               13  
29           0.632517         0.642793        0.008036               18  
51           0.634744         0.641907        0.011570               19  
50           0.634744         0.641907        0.011570               19  
30           0.634744         0.641907        0.011570               19  
10           0.634744         0.641907        0.011570               19  
11           0.634744         0.641907        0.011570               19  
31           0.630290         0.640570        0.009974               24  
12           0.610245         0.640121        0.019842               25  
53           0.610245         0.640121        0.019842               25  
52           0.610245         0.640121        0.019842               25  
13           0.610245         0.640121        0.019842               25  
32           0.610245         0.640121        0.019842               25  
34           0.623608         0.639674        0.010611               30  
55           0.623608         0.639674        0.010611               30  
14           0.623608         0.639674        0.010611               30  
35           0.625835         0.639674        0.008311               30  
54           0.623608         0.639674        0.010611               30  
15           0.623608         0.639674        0.010611               30  
33           0.612472         0.637896        0.016657               36  
26           0.621381         0.627677        0.017481               37  
6            0.621381         0.627677        0.017481               37  
7            0.621381         0.627677        0.017481               37  
47           0.621381         0.627677        0.017481               37  
46           0.621381         0.627677        0.017481               37  
27           0.621381         0.626344        0.018681               42  
45           0.616927         0.625009        0.022776               43  
24           0.616927         0.625009        0.022776               43  
5            0.616927         0.625009        0.022776               43  
44           0.616927         0.625009        0.022776               43  
4            0.616927         0.625009        0.022776               43  
25           0.616927         0.624564        0.023529               48  
3            0.610245         0.618324        0.012475               49  
43           0.610245         0.618324        0.012475               49  
42           0.610245         0.618324        0.012475               49  
22           0.610245         0.618324        0.012475               49  
2            0.610245         0.618324        0.012475               49  
23           0.610245         0.617879        0.012477               54  
21           0.614699         0.604978        0.022062               55  
40           0.614699         0.604978        0.022062               55  
41           0.614699         0.604978        0.022062               55  
1            0.614699         0.604978        0.022062               55  
20           0.614699         0.604978        0.022062               55  
0            0.614699         0.604978        0.022062               55  
